pdb_id	x	y	cluster	pdb	chain	arch_name	x_name
1AWP_A	-55.45328	7.02081	3	1awp	A	a+b two layers	Cystatin-like
1AWP_B	-55.448452	6.9297566	3	1awp	B	a+b two layers	Cystatin-like
1BCP_A	33.668186	-2.628008	1	1bcp	A	a+b complex topology	NO_X_NAME
1BCP_B	16.530582	11.05159	1	1bcp	B	a+b complex topology	NO_X_NAME
1BCP_B	16.530582	11.05159	1	1bcp	B	beta barrels	OB-fold
1BCP_C	52.69484	11.32328	1	1bcp	C	a+b complex topology	NO_X_NAME
1BCP_C	52.69484	11.32328	1	1bcp	C	beta barrels	OB-fold
1BCP_D	-46.19173	22.038948	0	1bcp	D	beta barrels	OB-fold
1BCP_E	-45.80933	23.53972	0	1bcp	E	beta barrels	OB-fold
1BCP_F	-52.393974	10.063152	3	1bcp	F	beta barrels	OB-fold
1BCP_G	33.66937	-2.626943	2	1bcp	G	a+b complex topology	NO_X_NAME
1BCP_H	16.532469	11.0693035	1	1bcp	H	a+b complex topology	NO_X_NAME
1BCP_H	16.532469	11.0693035	1	1bcp	H	beta barrels	OB-fold
1BCP_I	52.694805	11.322912	1	1bcp	I	a+b complex topology	NO_X_NAME
1BCP_I	52.694805	11.322912	1	1bcp	I	beta barrels	OB-fold
1BCP_J	-46.18558	22.045101	0	1bcp	J	beta barrels	OB-fold
1BCP_K	-45.83569	23.453924	0	1bcp	K	beta barrels	OB-fold
1BCP_L	-52.393692	10.062512	3	1bcp	L	beta barrels	OB-fold
1BFN_A	6.0004344	-11.740354	2	1bfn	A	a/b barrels	TIM beta/alpha-barrel
1BQN_A	11.516576	6.951544	2	1bqn	A	mixed a+b and a/b	Ribonuclease H-like
1BQN_A	11.516576	6.951544	2	1bqn	A	a+b two layers	Alpha-beta plaits
1BQN_A	11.516576	6.951544	2	1bqn	A	alpha bundles	NO_X_NAME
1BQN_B	20.661945	-7.9972014	1	1bqn	B	a+b two layers	Alpha-beta plaits
1BQN_B	20.661945	-7.9972014	1	1bqn	B	mixed a+b and a/b	Ribonuclease H-like
1BQN_B	20.661945	-7.9972014	1	1bqn	B	alpha bundles	NO_X_NAME
1BTY_A	14.70044	-33.102707	6	1bty	A	beta barrels	cradle loop barrel
1C1U_H	8.266896	-10.187629	1	1c1u	H	UNK	UNK
1C1U_I	-54.45968	-24.74432	8	1c1u	I	UNK	UNK
1C1U_L	-56.51572	-23.154993	8	1c1u	L	UNK	UNK
1CT5_A	19.701717	-9.475029	1	1ct5	A	a/b barrels	TIM beta/alpha-barrel
1CTX_A	-60.42821	-3.7731981	3	1ctx	A	few secondary structure elements	NO_X_NAME
1CW8_A	-53.233185	-23.946001	8	1cw8	A	UNK	UNK
1DHJ_A	-17.59462	-14.743855	7	1dhj	A	a/b three-layered sandwiches	NO_X_NAME
1DHJ_B	-17.625284	-14.707898	7	1dhj	B	a/b three-layered sandwiches	NO_X_NAME
1DKT_A	-56.821552	-1.8961886	3	1dkt	A	a+b complex topology	NO_X_NAME
1DKT_B	-58.433872	-2.8852172	3	1dkt	B	a+b complex topology	NO_X_NAME
1DP0_A	17.868048	7.734762	2	1dp0	A	beta sandwiches	Glycosyl hydrolase domain-like
1DP0_A	17.868048	7.734762	2	1dp0	A	beta sandwiches	Immunoglobulin-like beta-sandwich
1DP0_A	17.868048	7.734762	2	1dp0	A	a/b barrels	TIM beta/alpha-barrel
1DP0_A	17.868048	7.734762	2	1dp0	A	beta sandwiches	jelly-roll
