protein,theta_col,b00,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,frac_pos,frac_neg
1AWP_boxes_adjacent_angles,angle_signed_deg,0.0,0.0,0.0,0.017857142857142856,0.02976190476190476,0.047619047619047616,0.05952380952380952,0.06547619047619048,0.041666666666666664,0.041666666666666664,0.03571428571428571,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.017857142857142856,0.041666666666666664,0.09523809523809523,0.2261904761904762,0.16666666666666666,0.07142857142857142,0.011904761904761904,0.0,0.0,0.0,0.011904761904761904,0.0,0.6547619047619048,0.34523809523809523
1BCP_boxes_adjacent_angles,angle_signed_deg,0.003257328990228013,0.006514657980456026,0.014657980456026058,0.03203040173724213,0.05808903365906623,0.057003257328990226,0.08251900108577633,0.07980456026058631,0.07980456026058631,0.06894679695982628,0.04560260586319218,0.02008686210640608,0.0054288816503800215,0.002171552660152009,0.0,0.0010857763300760044,0.0,0.0,0.0,0.0010857763300760044,0.0,0.0016286644951140066,0.003800217155266015,0.009771986970684038,0.015743756786102063,0.03420195439739414,0.05971769815418024,0.08523344191096634,0.10206297502714441,0.0727470141150923,0.02823018458197611,0.01520086862106406,0.00760043431053203,0.004885993485342019,0.0010857763300760044,0.0,0.44299674267100975,0.5570032573289903
1BFN_boxes_adjacent_angles,angle_signed_deg,0.0020491803278688526,0.006147540983606557,0.010245901639344262,0.010245901639344262,0.022540983606557378,0.03278688524590164,0.045081967213114756,0.0778688524590164,0.06352459016393443,0.05327868852459016,0.06557377049180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020491803278688526,0.0,0.0020491803278688526,0.012295081967213115,0.028688524590163935,0.06967213114754098,0.29098360655737704,0.17008196721311475,0.028688524590163935,0.0,0.0,0.0,0.004098360655737705,0.0020491803278688526,0.0,0.610655737704918,0.389344262295082
1BQN_boxes_adjacent_angles,angle_signed_deg,0.0010162601626016261,0.00508130081300813,0.01524390243902439,0.027439024390243903,0.032520325203252036,0.05589430894308943,0.06504065040650407,0.054878048780487805,0.04369918699186992,0.056910569105691054,0.03048780487804878,0.03048780487804878,0.00508130081300813,0.0020325203252032522,0.0,0.0010162601626016261,0.0,0.0,0.0,0.0010162601626016261,0.0010162601626016261,0.0020325203252032522,0.006097560975609756,0.006097560975609756,0.021341463414634148,0.044715447154471545,0.09247967479674797,0.11991869918699187,0.11686991869918699,0.08434959349593496,0.039634146341463415,0.02032520325203252,0.007113821138211382,0.00508130081300813,0.0040650406504065045,0.0010162601626016261,0.573170731707317,0.426829268292683
1BTY_boxes_adjacent_angles,angle_signed_deg,0.004524886877828055,0.013574660633484163,0.004524886877828055,0.058823529411764705,0.05429864253393665,0.049773755656108594,0.09954751131221719,0.11312217194570136,0.10407239819004525,0.07692307692307693,0.05429864253393665,0.004524886877828055,0.004524886877828055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004524886877828055,0.00904977375565611,0.00904977375565611,0.05429864253393665,0.058823529411764705,0.08144796380090498,0.07239819004524888,0.03619909502262444,0.004524886877828055,0.0,0.004524886877828055,0.004524886877828055,0.013574660633484163,0.004524886877828055,0.3574660633484163,0.6425339366515836
1C1U_boxes_adjacent_angles,angle_signed_deg,0.0035460992907801418,0.0070921985815602835,0.014184397163120567,0.04964539007092199,0.04964539007092199,0.07446808510638298,0.0851063829787234,0.10283687943262411,0.05673758865248227,0.09219858156028368,0.031914893617021274,0.0070921985815602835,0.0035460992907801418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070921985815602835,0.04609929078014184,0.04609929078014184,0.0425531914893617,0.1099290780141844,0.09219858156028368,0.04964539007092199,0.010638297872340425,0.0070921985815602835,0.0035460992907801418,0.0,0.0070921985815602835,0.0,0.4219858156028369,0.5780141843971631
1CT5_boxes_adjacent_angles,angle_signed_deg,0.0,0.0,0.018018018018018018,0.013513513513513514,0.03153153153153153,0.02252252252252252,0.05405405405405406,0.036036036036036036,0.07657657657657657,0.03153153153153153,0.02702702702702703,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.03153153153153153,0.02702702702702703,0.06756756756756757,0.36036036036036034,0.15765765765765766,0.018018018018018018,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0,0.6801801801801802,0.3198198198198198
1CTX_boxes_adjacent_angles,angle_signed_deg,0.0,0.028985507246376812,0.057971014492753624,0.057971014492753624,0.043478260869565216,0.057971014492753624,0.014492753623188406,0.10144927536231885,0.043478260869565216,0.057971014492753624,0.043478260869565216,0.043478260869565216,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.014492753623188406,0.0,0.028985507246376812,0.014492753623188406,0.0,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.043478260869565216,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.0,0.42028985507246375,0.5797101449275363
1CW8_boxes_adjacent_angles,angle_signed_deg,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143
1DHJ_boxes_adjacent_angles,angle_signed_deg,0.0,0.0031847133757961785,0.03184713375796178,0.044585987261146494,0.08280254777070063,0.06369426751592357,0.08917197452229299,0.10191082802547771,0.05732484076433121,0.05732484076433121,0.025477707006369428,0.01592356687898089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009554140127388535,0.028662420382165606,0.025477707006369428,0.03821656050955414,0.18152866242038215,0.07643312101910828,0.03503184713375796,0.009554140127388535,0.012738853503184714,0.006369426751592357,0.0,0.0031847133757961785,0.0,0.4267515923566879,0.5732484076433121
